drug_id,interaction_type,interacts_with,severity,description_en,management_en
516,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of erlotinib.",Exercise caution with grapefruit products.
517,food,Fluids / Water,minor,Drink plenty of fluids. Drink 2 to 3 liters of fluids a day.,Drink plenty of fluids.
519,food,Antacids,moderate,"Take separate from antacids. Taking rofecoxib with antacids can reduce the AUC and Cmax of rofecoxib, therefore consider separating their administration for optimal efficacy.",
521,food,Iron,major,"Do not take aluminum, magnesium, or iron containing products up to 2 hours before or after this medication.","Do not take aluminum, magnesium, or iron containing products up to 2 hours before or after this medication."
523,food,Milk / Dairy,moderate,Avoid milk and dairy products. Dairy products and calcium fortified juices decrease the absorption of ciprofloxacin.,Avoid milk and dairy products.
523,food,Calcium,moderate,Dairy products and calcium fortified juices decrease the absorption of ciprofloxacin.,
523,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
525,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 and therefore, may elevate toremifene serum levels.",Avoid grapefruit products.
526,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
527,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of vincristine.",Exercise caution with grapefruit products.
528,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
529,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
534,food,Alcohol,moderate,Avoid alcohol. Alcohol may cause flushing,Avoid alcohol.
537,food,Iron,moderate,"Avoid iron supplements. Acetohydroxamic acid chelates iron, therefore oral supplementation of iron will reduce levels of both iron and acetohydroxamic acid.",Avoid iron supplements.
537,food,Alcohol,moderate,Avoid alcohol. Concomitant use of acetohydroxamic acid with alcohol may cause a rash.,Avoid alcohol.
539,food,Milk / Dairy,moderate,Take this medication with food or milk.,
540,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
543,food,Grapefruit,moderate,Avoid grapefruit products. Co-administration with grapefruit inhibits hydroxyzine metabolism and can result in elevated serum concentrations.,Avoid grapefruit products.
543,food,Alcohol,moderate,Avoid alcohol. Co-administration with alcohol may potentiate the CNS adverse effects of hydroxyzine.,Avoid alcohol.
549,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
549,food,Milk / Dairy,moderate,Avoid milk and dairy products. Milk and dairy products reduce absorption.,Avoid milk and dairy products.
549,food,Caffeine,minor,Limit caffeine intake. Caffeine may reduce the effectiveness of methotrexate.,Limit caffeine intake.
550,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
550,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.,Avoid alcohol.
555,food,Garlic,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
555,food,Ginger,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
555,food,Ginkgo,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
555,food,Ginseng,moderate,"Examples include ginseng, ginkgo, ginger, and garlic.",
556,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of vinblastine.",Avoid grapefruit products.
557,food,Alcohol,moderate,Avoid alcohol. Alcohol increases propranolol plasma concentrations.,Avoid alcohol.
558,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
559,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
561,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
566,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the risk of gastrointestinal bleeding.,Avoid alcohol.
567,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
570,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
571,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
571,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
572,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Co-administration with alcohol may increase the risk of gastrointestinal side effects, such as ulceration.",Avoid excessive or chronic alcohol consumption.
576,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
579,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
580,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
581,food,Milk / Dairy,moderate,Avoid milk and dairy products. Take at least 1 hour before or two hours after consuming dairy products.,Avoid milk and dairy products.
585,food,Alcohol,moderate,Avoid alcohol. Additive CNS depression may occur if alcohol is consumed with thiopental.,Avoid alcohol.
587,food,Alcohol,moderate,"Tyramine-containing foods include cheese, red wine, fava beans, pickled foods, cured foods, and alcoholic beverages.",
588,food,Fluids / Water,moderate,Oral ivermectin should be taken on an empty stomach with a glass of water.,
590,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
591,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the risk of gastrointestinal bleeding.,Avoid alcohol.
597,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
604,food,Milk / Dairy,moderate,Avoid milk and dairy products.,Avoid milk and dairy products.
605,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which can increase serum levels of imatinib.",Avoid grapefruit products.
605,food,Fluids / Water,moderate,Take with a full glass of water. Taking imatinib with water may reduce gastric irritation.,
608,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
609,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
611,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Alcohol may contribute to additive adverse effects when taken with efavirenz.,Avoid excessive or chronic alcohol consumption.
613,food,Alcohol,moderate,Avoid alcohol. Alcohol increases the chance of flushing and pruritus.,Avoid alcohol.
614,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
616,food,Antacids,moderate,"Calcium, antacids, and divalent ions may interfere with the absorption of this medication.",
616,food,Calcium,moderate,"Calcium, antacids, and divalent ions may interfere with the absorption of this medication.",
616,food,Fluids / Water,moderate,Take with a full glass of water.,
617,food,Echinacea,moderate,"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants.",Avoid echinacea.
621,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
626,food,Caffeine,moderate,Avoid caffeine. Caffeine may antagonise the activity of adenosine.,Avoid caffeine.
627,food,Grapefruit,moderate,Avoid grapefruit products. Co-administration with grapefruit products may increase the risk for adverse effects such as myalgia.,Avoid grapefruit products.
633,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
635,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol while taking stavudine may increase the risk of liver damage and pancreatitis.,Avoid alcohol.
638,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
641,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 and therefore, may increase estrone concentrations, potentially increasing its adverse effects.",Avoid grapefruit products.
641,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase serum concentrations of estradiol.,Avoid alcohol.
642,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
643,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. The ingestion of alcohol may potentiate the actions of mecamylamine.,Avoid excessive or chronic alcohol consumption.
646,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Alcohol may increase the CNS depressant effects of metaxalone.,Avoid excessive or chronic alcohol consumption.
647,food,Alcohol,moderate,"Avoid alcohol. Verapamil significantly inhibits the elimination of alcohol, leading to elevated blood alcohol levels.",Avoid alcohol.
647,food,Grapefruit,moderate,Avoid grapefruit products. Co-administration with grapefruit may significantly increase serum concentrations.,Avoid grapefruit products.
648,food,Alcohol,moderate,Avoid alcohol. Ingestion of alcohol may increase the CNS depressant effects of trimethobenzamide causing drowsiness.,Avoid alcohol.
651,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
652,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Ingesting alcohol in excess may increase the risk of bone thinning associated with taking nafarelin.,Avoid excessive or chronic alcohol consumption.
654,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Alcohol increased the risk of GI bleeding, ulcer, and perforation when taken with sumatriptan.",Avoid excessive or chronic alcohol consumption.
657,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
660,food,Fluids / Water,moderate,Take with a full glass of water.,
664,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may potentiate the CNS depressant actions of thioridazine.,Avoid alcohol.
667,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
667,food,Vitamin K-rich foods,moderate,Avoid foods rich in vitamin K. Vitamin K in foods such as leafy vegetables can reduce warfarin efficacy.,Avoid foods rich in vitamin K.
667,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
667,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
667,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
667,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
667,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
667,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
668,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
670,food,Antacids,moderate,Take separate from antacids. Take at least 2 hours before or after antacids.,
673,food,Calcium,moderate,"Take multivalent ions such as calcium, iron, or magnesium at least 2 hours after taking this medication.",
673,food,Iron,moderate,"Take multivalent ions such as calcium, iron, or magnesium at least 2 hours after taking this medication.",
675,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
676,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
680,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of orthostatic hypotension.,Avoid excessive or chronic alcohol consumption.
682,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
685,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit juice may increase the serum levels of eplerenone by 25% by inhibiting CYP3A4.,Avoid grapefruit products.
686,food,Alcohol,moderate,Avoid alcohol. Drug impairs alcohol metabolism.,Avoid alcohol.
688,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
693,food,Grapefruit,moderate,"Avoid grapefruit products. therefore, concomitant ingestion of CYP3A4 inhibitors like grapefruit products may increase serum levels of sufentanil and potentiate CNS depression.",Avoid grapefruit products.
693,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may potentiate the CNS depressant effects of sufentanil.,Avoid alcohol.
695,food,Fluids / Water,moderate,Take with a full glass of water.,
697,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
699,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may potentiate hypotension caused by apomorphine.,Avoid alcohol.
700,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
704,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
707,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
711,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the risk of adverse effects of trimipramine such as sedation and orthostatic hypotension.,Avoid alcohol.
712,food,Alcohol,moderate,Avoid alcohol. Alcohol can increase the risk of hypotension.,Avoid alcohol.
721,food,Alcohol,moderate,Avoid alcohol. Alcohol may cause additive CNS depressant effects.,Avoid alcohol.
725,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
728,food,Grapefruit,minor,"Exercise caution with grapefruit products. Therefore grapefruit, a CYP3A4 inhibitor, may reduce the metabolism of zileuton.",Exercise caution with grapefruit products.
728,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption.,Avoid excessive or chronic alcohol consumption.
731,food,Grapefruit,moderate,Avoid grapefruit products. Coadministration of scopolamine with grapefruit juice has been shown to delay scopolamine absorption and increase its bioavailability without altering its elimination.,Avoid grapefruit products.
732,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase drowsiness caused by carbinoxamine.,Avoid alcohol.
733,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
736,food,Alcohol,moderate,"Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans. Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of tranylcypromine.",Avoid alcohol.
743,food,Fluids / Water,moderate,Take with a full glass of water.,
743,food,Milk / Dairy,moderate,Avoid milk and dairy products.,Avoid milk and dairy products.
745,food,Fluids / Water,moderate,Take with a full glass of water.,
749,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of metyrosine.,Avoid alcohol.
755,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of the combination product Chlordiazepoxide HCl and Clidinium Bromide.,Avoid alcohol.
757,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of etoposide.",Avoid grapefruit products.
760,food,Alcohol,moderate,Avoid alcohol. Oxcarbazepine has CNS depressant properties that may be potentiated by co-administration with alcohol.,Avoid alcohol.
763,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
764,food,Caffeine,minor,Limit caffeine intake. Excess caffeine intake can also cause a hypertensive crisis.,Limit caffeine intake.
764,food,Alcohol,moderate,"Avoid alcohol. Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans.",Avoid alcohol.
768,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
771,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
774,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
778,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
779,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
788,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
788,food,Alcohol,moderate,Avoid alcohol. Alcohol may increase drowsiness caused by dicyclomine.,Avoid alcohol.
790,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
792,food,Alcohol,moderate,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,Avoid alcohol.
794,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
795,food,Alcohol,moderate,Avoid alcohol. ingesting alcohol may worsen this infection.,Avoid alcohol.
796,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
797,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
798,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
800,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
803,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
804,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Ingesting excess amounts of alcohol (more than four drinks in a short time) may potentiate the hypotension and dizziness caused by tadalafil.,Avoid excessive or chronic alcohol consumption.
804,food,Grapefruit,moderate,"Avoid grapefruit products. Tadalafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors",Avoid grapefruit products.
806,food,Alcohol,moderate,Avoid alcohol. Avoid alcohol for up to 14 days after discontinuation.,Avoid alcohol.
813,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
815,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may potentiate the sedative and CNS depressant effects of trifluoperazine.,Avoid excessive or chronic alcohol consumption.
818,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit inhibits the metabolism of mifepristone through the CYP3A4 pathway causing increased serum levels of mifepristone.,Avoid grapefruit products.
819,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
823,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of hypoglycemia.,Avoid excessive or chronic alcohol consumption.
826,food,Alcohol,moderate,Avoid alcohol. Co-administration with alcohol may potentiate the CNS effects of oxazepam.,Avoid alcohol.
827,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
828,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of nalbuphine.,Avoid alcohol.
834,food,Alcohol,moderate,Avoid alcohol. Consuming alcohol may increase hypotension. Perphenazine may increase the effects of alcohol.,Avoid alcohol.
838,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
841,food,Caffeine,minor,"Limit caffeine intake. Terbinafine may reduce the metabolism of caffeine by approximately 19%, monitor for increased effects of caffeine.",Limit caffeine intake.
843,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
844,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
845,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
846,food,Grapefruit,moderate,"Avoid grapefruit products. Vardenafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors",Avoid grapefruit products.
848,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
848,food,Alcohol,moderate,Avoid alcohol. Consuming alcohol may increase the rate of tacrolimus release from extended-release formulations.,Avoid alcohol.
848,food,Antacids,moderate,"Take separate from antacids. Coadministration of tacrolimus with aluminum or magnesium hydroxide antacids may increase the serum levels of tacrolimus, which poses a risk for toxicity.",
849,food,Caffeine,minor,Limit caffeine intake. Excess caffeine intake may increase the CNS stimulation caused by benzphetamine hydrochloride.,Limit caffeine intake.
858,food,Fluids / Water,moderate,Take with a full glass of water.,
859,food,Alcohol,moderate,Avoid alcohol. Flupentixol can enhance the sedative effects of alcohol.,Avoid alcohol.
861,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of sirolimus and increases its serum concentration.,Avoid grapefruit products.
865,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
868,food,Antacids,moderate,"Calcium, antacids, and divalent ions may interfere with the absorption of this medication.",
868,food,Calcium,moderate,"Calcium, antacids, and divalent ions may interfere with the absorption of this medication.",
868,food,Fluids / Water,moderate,Take with a full glass of water.,
881,food,Alcohol,moderate,"Avoid alcohol. Ingesting alcohol may increase the risk of complex behaviors like sleep-driving, which the patient does not remember.",Avoid alcohol.
881,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of triazolam, which increases the serum concentration of triazolam.",Avoid grapefruit products.
883,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of remifentanil.,Avoid alcohol.
884,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
890,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.,Avoid alcohol.
892,food,Antacids,moderate,Take separate from antacids. Antacids may reduce the absorption of quinidine.,
892,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit may delay the absorption of quinidine, and inhibit its metabolism through CYP3A4.",Exercise caution with grapefruit products.
893,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.,Avoid alcohol.
894,food,Antacids,moderate,Avoid antacids. Avoid taking aluminum-containing antacids chronically with paricalcitol as there is an increased risk of aluminum toxicity.,Avoid antacids.
894,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4, and paricalcitol metabolism is mediated partially through CYP3A4 therefore, grapefruit may increase paricalcitol serum levels.",Exercise caution with grapefruit products.
895,food,Alcohol,moderate,"Avoid alcohol. Avoid concomitant use of alcohol with tinidazole as it may cause flushing, nausea, vomiting, and headaches.",Avoid alcohol.
899,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
900,food,Alcohol,moderate,"Avoid alcohol. Unpleasant symptoms such as nausea, vomiting, and abdominal distress may occur with alcohol.",Avoid alcohol.
905,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits the metabolism of buprenorphine through CYP3A4, which increases the serum levels buprenorphine.",Avoid grapefruit products.
905,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of buprenorphine.,Avoid alcohol.
908,food,Alcohol,moderate,Avoid alcohol. Cyclobenzaprine is a central nervous system depressant which may be potentiated by the co-administration of alcohol.,Avoid alcohol.
910,food,Alcohol,major,Avoid alcohol. Alcohol should be completely avoided for up to 2 months after discontinuation.,Avoid alcohol.
911,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of gastric irritation.,Avoid excessive or chronic alcohol consumption.
911,food,Caffeine,minor,Limit caffeine intake. Caffeine and other acidic beverages increases the risk of gastric irritation.,Limit caffeine intake.
914,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
918,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
923,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.,Avoid excessive or chronic alcohol consumption.
929,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
929,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
929,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
929,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
929,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
929,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
929,food,Alcohol,moderate,Avoid alcohol. Alcohol increases the risk of gastrointestinal bleeding.,Avoid alcohol.
929,food,Fluids / Water,moderate,Take with a full glass of water.,
930,food,Grapefruit,minor,Exercise caution with grapefruit products.,Exercise caution with grapefruit products.
930,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
930,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
930,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
930,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
930,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
930,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
930,food,Vitamin K-rich foods,minor,Ensure consistent Vitamin K intake. Changes in vitamin K intake may impact coagulation.,Ensure consistent Vitamin K intake.
933,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
934,food,Grapefruit,moderate,"Fruit juices like grapefruit, orange, and apple may reduce bioavailability and overall exposure to the medication.",
935,food,Caffeine,minor,"Chocolate contains caffeine, which should be limited during isoniazid therapy. Limit caffeine intake.",Limit caffeine intake.
935,food,Alcohol,moderate,"Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages. Avoid alcohol. Avoid drinking alcoholic beverages such as unpasteurized beer Consuming alcohol may also increase the risk of isoniazid induced hepatitis and neuropathy.",Avoid alcohol.
935,food,Antacids,moderate,Take separate from antacids. Taking this medication with antacids can reduce absorption.,
940,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
942,food,Echinacea,moderate,Avoid echinacea.,Avoid echinacea.
943,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
944,food,Alcohol,moderate,Avoid alcohol. Alcohol may aggravate signs and symptoms of overdose.,Avoid alcohol.
946,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of zaleplon.,Avoid alcohol.
956,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may cause additive CNS depressant effects.,Avoid alcohol.
958,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
958,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
958,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
958,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
958,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
958,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
959,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
959,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
959,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
959,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
959,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
959,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
962,food,Antacids,moderate,"Separate the administration polyvalent ions, including magnesium and aluminum-containing antacids, from lomefloxacin by at least 4 hours before and 2 hours after lomefloxacin dosing.",
964,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
966,food,Alcohol,moderate,Avoid alcohol. Alcohol with isotretinoin can lead to inflammation of the liver.,Avoid alcohol.
969,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
980,food,Alcohol,moderate,Avoid alcohol. Gabapentin possesses CNS depressant activity that may be potentiated by co-administration with alcohol.,Avoid alcohol.
981,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of doxorubicin.",Exercise caution with grapefruit products.
983,food,Alcohol,moderate,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,Avoid alcohol.
983,food,Antacids,moderate,"Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide.","Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide."
983,food,Calcium,moderate,"Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide.","Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide."
983,food,Iron,moderate,"Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide.","Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide."
989,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
992,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
992,food,Grapefruit,minor,Exercise caution with grapefruit products.,Exercise caution with grapefruit products.
993,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
995,food,Milk / Dairy,moderate,Take metyrapone with milk or a snack according to the specific instructions for a single or multi-dose test.,
1000,food,Alcohol,moderate,Avoid alcohol. Alcohol increases the risk of hypoglycemia.,Avoid alcohol.
1001,food,Calcium,moderate,"Separate administration of aluminium, calcium, iron and magnesium containing products from medication by at least 2 hours.",
1001,food,Iron,moderate,"Separate administration of aluminium, calcium, iron and magnesium containing products from medication by at least 2 hours.",
1002,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
