drug_id,condition_id,treatment_notes,treatment_notes_vi,is_primary
1289,61247,'(S)-Rolipram (S)-Rolipram tablets (S)-Rolipram oral Treatment of pain and inflammation Treatment of depression and anxiety May deplete zinc levels Avoid fiber supplements Do not consume with magnesium',NULL,FALSE
1289,24771,'(S)-Rolipram (S)-Rolipram tablets (S)-Rolipram oral Treatment of pain and inflammation Treatment of depression and anxiety May deplete zinc levels Avoid fiber supplements Do not consume with magnesium',NULL,FALSE
1289,73819,'(S)-Rolipram (S)-Rolipram tablets (S)-Rolipram oral Treatment of pain and inflammation Treatment of depression and anxiety May deplete zinc levels Avoid fiber supplements Do not consume with magnesium',NULL,FALSE
1289,61655,'(S)-Rolipram (S)-Rolipram tablets (S)-Rolipram oral Treatment of pain and inflammation Treatment of depression and anxiety May deplete zinc levels Avoid fiber supplements Do not consume with magnesium',NULL,FALSE
1741,62076,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,61248,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,62075,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,62074,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,61247,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,61246,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,62928,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,23237,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,23236,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,73760,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,73819,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1741,13509,'Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation Treatment of heart failure Avoid fiber supplements Take Fraxin',NULL,FALSE
1736,24778,'Cantaloupe Cantaloupe tablets Cantaloupe oral Treatment of chronic pain Treatment of heart failure May deplete zinc levels Limit protein intake Take Cantaloupe as directed by physician',NULL,FALSE
1736,62928,'Cantaloupe Cantaloupe tablets Cantaloupe oral Treatment of chronic pain Treatment of heart failure May deplete zinc levels Limit protein intake Take Cantaloupe as directed by physician',NULL,FALSE
1736,62927,'Cantaloupe Cantaloupe tablets Cantaloupe oral Treatment of chronic pain Treatment of heart failure May deplete zinc levels Limit protein intake Take Cantaloupe as directed by physician',NULL,FALSE
1736,62926,'Cantaloupe Cantaloupe tablets Cantaloupe oral Treatment of chronic pain Treatment of heart failure May deplete zinc levels Limit protein intake Take Cantaloupe as directed by physician',NULL,FALSE
1736,62076,'Cantaloupe Cantaloupe tablets Cantaloupe oral Treatment of chronic pain Treatment of heart failure May deplete zinc levels Limit protein intake Take Cantaloupe as directed by physician',NULL,FALSE
1736,3852,'Cantaloupe Cantaloupe tablets Cantaloupe oral Treatment of chronic pain Treatment of heart failure May deplete zinc levels Limit protein intake Take Cantaloupe as directed by physician',NULL,FALSE
1736,24794,'Cantaloupe Cantaloupe tablets Cantaloupe oral Treatment of chronic pain Treatment of heart failure May deplete zinc levels Limit protein intake Take Cantaloupe as directed by physician',NULL,FALSE
1736,73760,'Cantaloupe Cantaloupe tablets Cantaloupe oral Treatment of chronic pain Treatment of heart failure May deplete zinc levels Limit protein intake Take Cantaloupe as directed by physician',NULL,FALSE
1736,66204,'Cantaloupe Cantaloupe tablets Cantaloupe oral Treatment of chronic pain Treatment of heart failure May deplete zinc levels Limit protein intake Take Cantaloupe as directed by physician',NULL,FALSE
1736,62074,'Cantaloupe Cantaloupe tablets Cantaloupe oral Treatment of chronic pain Treatment of heart failure May deplete zinc levels Limit protein intake Take Cantaloupe as directed by physician',NULL,FALSE
1290,61246,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1290,13508,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1290,24771,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1290,62076,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1290,13509,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1290,62075,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1290,62074,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1290,62928,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1290,73819,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1290,73760,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1290,23237,'2-Hydroxy-Tryptophan 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety Avoid iron-rich foo',NULL,FALSE
1180,3852,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,23237,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,23236,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,61464,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,61374,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,61463,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,61462,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,61373,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,61372,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,23234,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,71258,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,73760,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,66203,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1180,66202,'4-hydroxybenzoyl-CoA 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take with calcium sup',NULL,FALSE
1708,3852,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,61374,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,61373,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,61372,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,71258,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,71257,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,71256,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,62076,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,61656,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,24778,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,62075,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,73760,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,23237,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1708,23234,'Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Take Gastric intrinsic factor',NULL,FALSE
1939,23237,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1939,23236,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1939,61464,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1939,62076,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1939,61463,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1939,61462,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1939,61248,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1939,62075,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1939,66203,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1939,24771,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1939,66202,'NADH NADH tablets NADH oral Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Do not take with calcium supplements Take NADH as directed by physician',NULL,FALSE
1323,3852,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,24778,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,13508,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,61374,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,24771,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,61373,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,61372,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,13509,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,71258,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,73760,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,66203,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
1323,66202,'LFA703 LFA703 tablets LFA703 oral Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not consume with magnesium Limit protein in',NULL,FALSE
2075,24778,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,13508,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,61464,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,24771,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,61463,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,61462,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,13509,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,71258,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,71257,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,73760,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,23237,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
2075,23234,'GSK-2981278 GSK-2981278 tablets GSK-2981278 oral Treatment of allergic rhinitis Treatment of rheumatoid arthritis Limit protein intake May interact with calcium carbonate May interact with calcium car',NULL,FALSE
1057,61374,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,61373,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,61372,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,71258,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,71257,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,71256,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,10699,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,62076,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,24778,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,73760,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,23237,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,23234,'Saprisartan Saprisartan tablets Saprisartan oral Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
932,61246,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,61374,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,62076,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,61373,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,61372,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,62075,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,62074,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,62928,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,23237,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,23236,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,66202,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,66203,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,62926,'Micafungin Micafungin tablets Micafungin oral Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
2085,3852,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,62928,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,23237,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,23236,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,61464,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,62927,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,62926,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,62076,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,61463,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,61462,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,23234,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,73760,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
2085,66204,'CB-5083 CB-5083 tablets CB-5083 oral Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interac',NULL,FALSE
1951,66253,'Althea root Althea root tablets Althea root oral Treatment of heart failure Treatment of bacterial infections Treatment of hypertension May interact with vitamin K Limit vitamin C intake Do not take w',NULL,FALSE
1951,73654,'Althea root Althea root tablets Althea root oral Treatment of heart failure Treatment of bacterial infections Treatment of hypertension May interact with vitamin K Limit vitamin C intake Do not take w',NULL,FALSE
1951,42,'Althea root Althea root tablets Althea root oral Treatment of heart failure Treatment of bacterial infections Treatment of hypertension May interact with vitamin K Limit vitamin C intake Do not take w',NULL,FALSE
