Nutrient,Unit,Gender,Age Group,Goal,Activity Factor,Recommended Amount (per day)
Vitamin C,mg,Nữ,19–30,Giảm cân,1.9,128.25
Vitamin C,mg,Nữ,19–30,Giữ cân,1.2,90.0
Vitamin C,mg,Nữ,19–30,Giữ cân,1.375,103.12
Vitamin C,mg,Nữ,19–30,Giữ cân,1.55,116.25
Vitamin C,mg,Nữ,19–30,Giữ cân,1.725,129.38
Vitamin C,mg,Nữ,19–30,Giữ cân,1.9,142.5
Vitamin C,mg,Nữ,19–30,Tăng cân,1.2,99.0
Vitamin C,mg,Nữ,19–30,Tăng cân,1.375,113.44
Vitamin C,mg,Nữ,19–30,Tăng cân,1.55,127.88
Vitamin C,mg,Nữ,19–30,Tăng cân,1.725,142.31
Vitamin C,mg,Nữ,19–30,Tăng cân,1.9,156.75
Vitamin C,mg,Nữ,31–50,Giảm cân,1.2,81.0
Vitamin C,mg,Nữ,31–50,Giảm cân,1.375,92.81
Vitamin C,mg,Nữ,31–50,Giảm cân,1.55,104.62
Vitamin C,mg,Nữ,31–50,Giảm cân,1.725,116.44
Vitamin C,mg,Nữ,31–50,Giảm cân,1.9,128.25
Vitamin C,mg,Nữ,31–50,Giữ cân,1.2,90.0
Vitamin C,mg,Nữ,31–50,Giữ cân,1.375,103.12
Vitamin C,mg,Nữ,31–50,Giữ cân,1.55,116.25
Vitamin C,mg,Nữ,31–50,Giữ cân,1.725,129.38
Vitamin C,mg,Nữ,31–50,Giữ cân,1.9,142.5
Vitamin C,mg,Nữ,31–50,Tăng cân,1.2,99.0
Vitamin C,mg,Nữ,31–50,Tăng cân,1.375,113.44
Vitamin C,mg,Nữ,31–50,Tăng cân,1.55,127.88
Vitamin C,mg,Nữ,31–50,Tăng cân,1.725,142.31
Vitamin C,mg,Nữ,31–50,Tăng cân,1.9,156.75
Vitamin C,mg,Nữ,51+,Giảm cân,1.2,81.0
Vitamin C,mg,Nữ,51+,Giảm cân,1.375,92.81
Vitamin C,mg,Nữ,51+,Giảm cân,1.55,104.62
Vitamin C,mg,Nữ,51+,Giảm cân,1.725,116.44
Vitamin C,mg,Nữ,51+,Giảm cân,1.9,128.25
Vitamin C,mg,Nữ,51+,Giữ cân,1.2,90.0
Vitamin C,mg,Nữ,51+,Giữ cân,1.375,103.12
Vitamin C,mg,Nữ,51+,Giữ cân,1.55,116.25
Vitamin C,mg,Nữ,51+,Giữ cân,1.725,129.38
Vitamin C,mg,Nữ,51+,Giữ cân,1.9,142.5
Vitamin C,mg,Nữ,51+,Tăng cân,1.2,99.0
Vitamin C,mg,Nữ,51+,Tăng cân,1.375,113.44
Vitamin C,mg,Nữ,51+,Tăng cân,1.55,127.88
Vitamin C,mg,Nữ,51+,Tăng cân,1.725,142.31
Vitamin C,mg,Nữ,51+,Tăng cân,1.9,156.75
Vitamin B1,mg,Nam,19–30,Giảm cân,1.2,1.3
Vitamin B1,mg,Nam,19–30,Giảm cân,1.375,1.49
Vitamin B1,mg,Nam,19–30,Giảm cân,1.55,1.67
Vitamin B1,mg,Nam,19–30,Giảm cân,1.725,1.86
Vitamin B1,mg,Nam,19–30,Giảm cân,1.9,2.05
Vitamin B1,mg,Nam,19–30,Giữ cân,1.2,1.44
Vitamin B1,mg,Nam,19–30,Giữ cân,1.375,1.65
Vitamin B1,mg,Nam,19–30,Giữ cân,1.55,1.86
Vitamin B1,mg,Nam,19–30,Giữ cân,1.725,2.07
Vitamin B1,mg,Nam,19–30,Giữ cân,1.9,2.28
Vitamin B1,mg,Nam,19–30,Tăng cân,1.2,1.58
Vitamin B1,mg,Nam,19–30,Tăng cân,1.375,1.82
Vitamin B1,mg,Nam,19–30,Tăng cân,1.55,2.05
Vitamin B1,mg,Nam,19–30,Tăng cân,1.725,2.28
Vitamin B1,mg,Nam,19–30,Tăng cân,1.9,2.51
Vitamin B1,mg,Nam,31–50,Giảm cân,1.2,1.3
Vitamin B1,mg,Nam,31–50,Giảm cân,1.375,1.49
Vitamin B1,mg,Nam,31–50,Giảm cân,1.55,1.67
Vitamin B1,mg,Nam,31–50,Giảm cân,1.725,1.86
Vitamin B1,mg,Nam,31–50,Giảm cân,1.9,2.05
Vitamin B1,mg,Nam,31–50,Giữ cân,1.2,1.44
Vitamin B1,mg,Nam,31–50,Giữ cân,1.375,1.65
Vitamin B1,mg,Nam,31–50,Giữ cân,1.55,1.86
Vitamin B1,mg,Nam,31–50,Giữ cân,1.725,2.07
Vitamin B1,mg,Nam,31–50,Giữ cân,1.9,2.28
Vitamin B1,mg,Nam,31–50,Tăng cân,1.2,1.58
Vitamin B1,mg,Nam,31–50,Tăng cân,1.375,1.82
Vitamin B1,mg,Nam,31–50,Tăng cân,1.55,2.05
Vitamin B1,mg,Nam,31–50,Tăng cân,1.725,2.28
Vitamin B1,mg,Nam,31–50,Tăng cân,1.9,2.51
Vitamin B1,mg,Nam,51+,Giảm cân,1.2,1.3
Vitamin B1,mg,Nam,51+,Giảm cân,1.375,1.49
Vitamin B1,mg,Nam,51+,Giảm cân,1.55,1.67
Vitamin B1,mg,Nam,51+,Giảm cân,1.725,1.86
Vitamin B1,mg,Nam,51+,Giảm cân,1.9,2.05
Vitamin B1,mg,Nam,51+,Giữ cân,1.2,1.44
Vitamin B1,mg,Nam,51+,Giữ cân,1.375,1.65
Vitamin B1,mg,Nam,51+,Giữ cân,1.55,1.86
Vitamin B1,mg,Nam,51+,Giữ cân,1.725,2.07
Vitamin B1,mg,Nam,51+,Giữ cân,1.9,2.28
Vitamin B1,mg,Nam,51+,Tăng cân,1.2,1.58
Vitamin B1,mg,Nam,51+,Tăng cân,1.375,1.82
Vitamin B1,mg,Nam,51+,Tăng cân,1.55,2.05
Vitamin B1,mg,Nam,51+,Tăng cân,1.725,2.28
Vitamin B1,mg,Nam,51+,Tăng cân,1.9,2.51
Vitamin B1,mg,Nữ,19–30,Giảm cân,1.2,1.19
Vitamin B1,mg,Nữ,19–30,Giảm cân,1.375,1.36
Vitamin B1,mg,Nữ,19–30,Giảm cân,1.55,1.53
Vitamin B1,mg,Nữ,19–30,Giảm cân,1.725,1.71
Vitamin B1,mg,Nữ,19–30,Giảm cân,1.9,1.88
Vitamin B1,mg,Nữ,19–30,Giữ cân,1.2,1.32
Vitamin B1,mg,Nữ,19–30,Giữ cân,1.375,1.51
Vitamin B1,mg,Nữ,19–30,Giữ cân,1.55,1.71
Vitamin B1,mg,Nữ,19–30,Giữ cân,1.725,1.9
Vitamin B1,mg,Nữ,19–30,Giữ cân,1.9,2.09
Vitamin B1,mg,Nữ,19–30,Tăng cân,1.2,1.45
Vitamin B1,mg,Nữ,19–30,Tăng cân,1.375,1.66
Vitamin B1,mg,Nữ,19–30,Tăng cân,1.55,1.88
Vitamin B1,mg,Nữ,19–30,Tăng cân,1.725,2.09
Vitamin B1,mg,Nữ,19–30,Tăng cân,1.9,2.3
Vitamin B1,mg,Nữ,31–50,Giảm cân,1.2,1.19
Vitamin B1,mg,Nữ,31–50,Giảm cân,1.375,1.36
Vitamin B1,mg,Nữ,31–50,Giảm cân,1.55,1.53
Vitamin B1,mg,Nữ,31–50,Giảm cân,1.725,1.71
Vitamin B1,mg,Nữ,31–50,Giảm cân,1.9,1.88
Vitamin B1,mg,Nữ,31–50,Giữ cân,1.2,1.32
Vitamin B1,mg,Nữ,31–50,Giữ cân,1.375,1.51
Vitamin B1,mg,Nữ,31–50,Giữ cân,1.55,1.71
Vitamin B1,mg,Nữ,31–50,Giữ cân,1.725,1.9
Vitamin B1,mg,Nữ,31–50,Giữ cân,1.9,2.09
Vitamin B1,mg,Nữ,31–50,Tăng cân,1.2,1.45
Vitamin B1,mg,Nữ,31–50,Tăng cân,1.375,1.66
Vitamin B1,mg,Nữ,31–50,Tăng cân,1.55,1.88
Vitamin B1,mg,Nữ,31–50,Tăng cân,1.725,2.09
Vitamin B1,mg,Nữ,31–50,Tăng cân,1.9,2.3
Vitamin B1,mg,Nữ,51+,Giảm cân,1.2,1.19
Vitamin B1,mg,Nữ,51+,Giảm cân,1.375,1.36
Vitamin B1,mg,Nữ,51+,Giảm cân,1.55,1.53
Vitamin B1,mg,Nữ,51+,Giảm cân,1.725,1.71
Vitamin B1,mg,Nữ,51+,Giảm cân,1.9,1.88
Vitamin B1,mg,Nữ,51+,Giữ cân,1.2,1.32
Vitamin B1,mg,Nữ,51+,Giữ cân,1.375,1.51
Vitamin B1,mg,Nữ,51+,Giữ cân,1.55,1.71
Vitamin B1,mg,Nữ,51+,Giữ cân,1.725,1.9
Vitamin B1,mg,Nữ,51+,Giữ cân,1.9,2.09
Vitamin B1,mg,Nữ,51+,Tăng cân,1.2,1.45
Vitamin B1,mg,Nữ,51+,Tăng cân,1.375,1.66
Vitamin B1,mg,Nữ,51+,Tăng cân,1.55,1.88
Vitamin B1,mg,Nữ,51+,Tăng cân,1.725,2.09
Vitamin B1,mg,Nữ,51+,Tăng cân,1.9,2.3
Vitamin B2,mg,Nam,19–30,Giảm cân,1.2,1.4
Vitamin B2,mg,Nam,19–30,Giảm cân,1.375,1.61
Vitamin B2,mg,Nam,19–30,Giảm cân,1.55,1.81
Vitamin B2,mg,Nam,19–30,Giảm cân,1.725,2.02
Vitamin B2,mg,Nam,19–30,Giảm cân,1.9,2.22
Vitamin B2,mg,Nam,19–30,Giữ cân,1.2,1.56
Vitamin B2,mg,Nam,19–30,Giữ cân,1.375,1.79
Vitamin B2,mg,Nam,19–30,Giữ cân,1.55,2.02
Vitamin B2,mg,Nam,19–30,Giữ cân,1.725,2.24
Vitamin B2,mg,Nam,19–30,Giữ cân,1.9,2.47
Vitamin B2,mg,Nam,19–30,Tăng cân,1.2,1.72
Vitamin B2,mg,Nam,19–30,Tăng cân,1.375,1.97
Vitamin B2,mg,Nam,19–30,Tăng cân,1.55,2.22
Vitamin B2,mg,Nam,19–30,Tăng cân,1.725,2.47
Vitamin B2,mg,Nam,19–30,Tăng cân,1.9,2.72
Vitamin B2,mg,Nam,31–50,Giảm cân,1.2,1.4
Vitamin B2,mg,Nam,31–50,Giảm cân,1.375,1.61
Vitamin B2,mg,Nam,31–50,Giảm cân,1.55,1.81
Vitamin B2,mg,Nam,31–50,Giảm cân,1.725,2.02
Vitamin B2,mg,Nam,31–50,Giảm cân,1.9,2.22
Vitamin B2,mg,Nam,31–50,Giữ cân,1.2,1.56
Vitamin B2,mg,Nam,31–50,Giữ cân,1.375,1.79
Vitamin B2,mg,Nam,31–50,Giữ cân,1.55,2.02
Vitamin B2,mg,Nam,31–50,Giữ cân,1.725,2.24
Vitamin B2,mg,Nam,31–50,Giữ cân,1.9,2.47
Vitamin B2,mg,Nam,31–50,Tăng cân,1.2,1.72
Vitamin B2,mg,Nam,31–50,Tăng cân,1.375,1.97
Vitamin B2,mg,Nam,31–50,Tăng cân,1.55,2.22
Vitamin B2,mg,Nam,31–50,Tăng cân,1.725,2.47
Vitamin B2,mg,Nam,31–50,Tăng cân,1.9,2.72
Vitamin B2,mg,Nam,51+,Giảm cân,1.2,1.4
Vitamin B2,mg,Nam,51+,Giảm cân,1.375,1.61
Vitamin B2,mg,Nam,51+,Giảm cân,1.55,1.81
Vitamin B2,mg,Nam,51+,Giảm cân,1.725,2.02
Vitamin B2,mg,Nam,51+,Giảm cân,1.9,2.22
Vitamin B2,mg,Nam,51+,Giữ cân,1.2,1.56
Vitamin B2,mg,Nam,51+,Giữ cân,1.375,1.79
Vitamin B2,mg,Nam,51+,Giữ cân,1.55,2.02
Vitamin B2,mg,Nam,51+,Giữ cân,1.725,2.24
Vitamin B2,mg,Nam,51+,Giữ cân,1.9,2.47
Vitamin B2,mg,Nam,51+,Tăng cân,1.2,1.72
Vitamin B2,mg,Nam,51+,Tăng cân,1.375,1.97
Vitamin B2,mg,Nam,51+,Tăng cân,1.55,2.22
Vitamin B2,mg,Nam,51+,Tăng cân,1.725,2.47
Vitamin B2,mg,Nam,51+,Tăng cân,1.9,2.72
Vitamin B2,mg,Nữ,19–30,Giảm cân,1.2,1.19
Vitamin B2,mg,Nữ,19–30,Giảm cân,1.375,1.36
Vitamin B2,mg,Nữ,19–30,Giảm cân,1.55,1.53
Vitamin B2,mg,Nữ,19–30,Giảm cân,1.725,1.71
Vitamin B2,mg,Nữ,19–30,Giảm cân,1.9,1.88
Vitamin B2,mg,Nữ,19–30,Giữ cân,1.2,1.32
Vitamin B2,mg,Nữ,19–30,Giữ cân,1.375,1.51
Vitamin B2,mg,Nữ,19–30,Giữ cân,1.55,1.71
Vitamin B2,mg,Nữ,19–30,Giữ cân,1.725,1.9
Vitamin B2,mg,Nữ,19–30,Giữ cân,1.9,2.09
Vitamin B2,mg,Nữ,19–30,Tăng cân,1.2,1.45
Vitamin B2,mg,Nữ,19–30,Tăng cân,1.375,1.66
Vitamin B2,mg,Nữ,19–30,Tăng cân,1.55,1.88
Vitamin B2,mg,Nữ,19–30,Tăng cân,1.725,2.09
Vitamin B2,mg,Nữ,19–30,Tăng cân,1.9,2.3
Vitamin B2,mg,Nữ,31–50,Giảm cân,1.2,1.19
Vitamin B2,mg,Nữ,31–50,Giảm cân,1.375,1.36
Vitamin B2,mg,Nữ,31–50,Giảm cân,1.55,1.53
Vitamin B2,mg,Nữ,31–50,Giảm cân,1.725,1.71
Vitamin B2,mg,Nữ,31–50,Giảm cân,1.9,1.88
Vitamin B2,mg,Nữ,31–50,Giữ cân,1.2,1.32
Vitamin B2,mg,Nữ,31–50,Giữ cân,1.375,1.51
Vitamin B2,mg,Nữ,31–50,Giữ cân,1.55,1.71
Vitamin B2,mg,Nữ,31–50,Giữ cân,1.725,1.9
Vitamin B2,mg,Nữ,31–50,Giữ cân,1.9,2.09
Vitamin B2,mg,Nữ,31–50,Tăng cân,1.2,1.45
Vitamin B2,mg,Nữ,31–50,Tăng cân,1.375,1.66
Vitamin B2,mg,Nữ,31–50,Tăng cân,1.55,1.88
Vitamin B2,mg,Nữ,31–50,Tăng cân,1.725,2.09
Vitamin B2,mg,Nữ,31–50,Tăng cân,1.9,2.3
Vitamin B2,mg,Nữ,51+,Giảm cân,1.2,1.19
Vitamin B2,mg,Nữ,51+,Giảm cân,1.375,1.36
Vitamin B2,mg,Nữ,51+,Giảm cân,1.55,1.53
Vitamin B2,mg,Nữ,51+,Giảm cân,1.725,1.71
Vitamin B2,mg,Nữ,51+,Giảm cân,1.9,1.88
Vitamin B2,mg,Nữ,51+,Giữ cân,1.2,1.32
Vitamin B2,mg,Nữ,51+,Giữ cân,1.375,1.51
Vitamin B2,mg,Nữ,51+,Giữ cân,1.55,1.71
Vitamin B2,mg,Nữ,51+,Giữ cân,1.725,1.9
Vitamin B2,mg,Nữ,51+,Giữ cân,1.9,2.09
Vitamin B2,mg,Nữ,51+,Tăng cân,1.2,1.45
Vitamin B2,mg,Nữ,51+,Tăng cân,1.375,1.66
Vitamin B2,mg,Nữ,51+,Tăng cân,1.55,1.88
Vitamin B2,mg,Nữ,51+,Tăng cân,1.725,2.09
Vitamin B2,mg,Nữ,51+,Tăng cân,1.9,2.3
Vitamin B3,mg,Nam,19–30,Giảm cân,1.2,17.28
Vitamin B3,mg,Nam,19–30,Giảm cân,1.375,19.8
Vitamin B3,mg,Nam,19–30,Giảm cân,1.55,22.32
Vitamin B3,mg,Nam,19–30,Giảm cân,1.725,24.84
Vitamin B3,mg,Nam,19–30,Giảm cân,1.9,27.36
Vitamin B3,mg,Nam,19–30,Giữ cân,1.2,19.2
Vitamin B3,mg,Nam,19–30,Giữ cân,1.375,22.0
Vitamin B3,mg,Nam,19–30,Giữ cân,1.55,24.8
Vitamin B3,mg,Nam,19–30,Giữ cân,1.725,27.6
Vitamin B3,mg,Nam,19–30,Giữ cân,1.9,30.4
Vitamin B3,mg,Nam,19–30,Tăng cân,1.2,21.12
Vitamin B3,mg,Nam,19–30,Tăng cân,1.375,24.2
Vitamin B3,mg,Nam,19–30,Tăng cân,1.55,27.28
Vitamin B3,mg,Nam,19–30,Tăng cân,1.725,30.36
Vitamin B3,mg,Nam,19–30,Tăng cân,1.9,33.44
Vitamin B3,mg,Nam,31–50,Giảm cân,1.2,17.28
Vitamin B3,mg,Nam,31–50,Giảm cân,1.375,19.8
Vitamin B3,mg,Nam,31–50,Giảm cân,1.55,22.32
Vitamin B3,mg,Nam,31–50,Giảm cân,1.725,24.84
Vitamin B3,mg,Nam,31–50,Giảm cân,1.9,27.36
Vitamin B3,mg,Nam,31–50,Giữ cân,1.2,19.2
Vitamin B3,mg,Nam,31–50,Giữ cân,1.375,22.0
Vitamin B3,mg,Nam,31–50,Giữ cân,1.55,24.8
Vitamin B3,mg,Nam,31–50,Giữ cân,1.725,27.6
Vitamin B3,mg,Nam,31–50,Giữ cân,1.9,30.4
Vitamin B3,mg,Nam,31–50,Tăng cân,1.2,21.12
Vitamin B3,mg,Nam,31–50,Tăng cân,1.375,24.2
Vitamin B3,mg,Nam,31–50,Tăng cân,1.55,27.28
Vitamin B3,mg,Nam,31–50,Tăng cân,1.725,30.36
Vitamin B3,mg,Nam,31–50,Tăng cân,1.9,33.44
Vitamin B3,mg,Nam,51+,Giảm cân,1.2,17.28
Vitamin B3,mg,Nam,51+,Giảm cân,1.375,19.8
Vitamin B3,mg,Nam,51+,Giảm cân,1.55,22.32
Vitamin B3,mg,Nam,51+,Giảm cân,1.725,24.84
Vitamin B3,mg,Nam,51+,Giảm cân,1.9,27.36
Vitamin B3,mg,Nam,51+,Giữ cân,1.2,19.2
Vitamin B3,mg,Nam,51+,Giữ cân,1.375,22.0
Vitamin B3,mg,Nam,51+,Giữ cân,1.55,24.8
Vitamin B3,mg,Nam,51+,Giữ cân,1.725,27.6
Vitamin B3,mg,Nam,51+,Giữ cân,1.9,30.4
Vitamin B3,mg,Nam,51+,Tăng cân,1.2,21.12
Vitamin B3,mg,Nam,51+,Tăng cân,1.375,24.2
Vitamin B3,mg,Nam,51+,Tăng cân,1.55,27.28
Vitamin B3,mg,Nam,51+,Tăng cân,1.725,30.36
Vitamin B3,mg,Nam,51+,Tăng cân,1.9,33.44
Vitamin B3,mg,Nữ,19–30,Giảm cân,1.2,15.12
Vitamin B3,mg,Nữ,19–30,Giảm cân,1.375,17.32
Vitamin B3,mg,Nữ,19–30,Giảm cân,1.55,19.53
Vitamin B3,mg,Nữ,19–30,Giảm cân,1.725,21.73
Vitamin B3,mg,Nữ,19–30,Giảm cân,1.9,23.94
Vitamin B3,mg,Nữ,19–30,Giữ cân,1.2,16.8
Vitamin B3,mg,Nữ,19–30,Giữ cân,1.375,19.25
Vitamin B3,mg,Nữ,19–30,Giữ cân,1.55,21.7
Vitamin B3,mg,Nữ,19–30,Giữ cân,1.725,24.15
Vitamin B3,mg,Nữ,19–30,Giữ cân,1.9,26.6
Vitamin B3,mg,Nữ,19–30,Tăng cân,1.2,18.48
Vitamin B3,mg,Nữ,19–30,Tăng cân,1.375,21.18
Vitamin B3,mg,Nữ,19–30,Tăng cân,1.55,23.87
Vitamin B3,mg,Nữ,19–30,Tăng cân,1.725,26.57
Vitamin B3,mg,Nữ,19–30,Tăng cân,1.9,29.26
Vitamin B3,mg,Nữ,31–50,Giảm cân,1.2,15.12
Vitamin B3,mg,Nữ,31–50,Giảm cân,1.375,17.32
Vitamin B3,mg,Nữ,31–50,Giảm cân,1.55,19.53
Vitamin B3,mg,Nữ,31–50,Giảm cân,1.725,21.73
Vitamin B3,mg,Nữ,31–50,Giảm cân,1.9,23.94
Vitamin B3,mg,Nữ,31–50,Giữ cân,1.2,16.8
Vitamin B3,mg,Nữ,31–50,Giữ cân,1.375,19.25
Vitamin B3,mg,Nữ,31–50,Giữ cân,1.55,21.7
Vitamin B3,mg,Nữ,31–50,Giữ cân,1.725,24.15
Vitamin B3,mg,Nữ,31–50,Giữ cân,1.9,26.6
Vitamin B3,mg,Nữ,31–50,Tăng cân,1.2,18.48
Vitamin B3,mg,Nữ,31–50,Tăng cân,1.375,21.18
Vitamin B3,mg,Nữ,31–50,Tăng cân,1.55,23.87
Vitamin B3,mg,Nữ,31–50,Tăng cân,1.725,26.57
Vitamin B3,mg,Nữ,31–50,Tăng cân,1.9,29.26
Vitamin B3,mg,Nữ,51+,Giảm cân,1.2,15.12
Vitamin B3,mg,Nữ,51+,Giảm cân,1.375,17.32
Vitamin B3,mg,Nữ,51+,Giảm cân,1.55,19.53
Vitamin B3,mg,Nữ,51+,Giảm cân,1.725,21.73
Vitamin B3,mg,Nữ,51+,Giảm cân,1.9,23.94
Vitamin B3,mg,Nữ,51+,Giữ cân,1.2,16.8
Vitamin B3,mg,Nữ,51+,Giữ cân,1.375,19.25
Vitamin B3,mg,Nữ,51+,Giữ cân,1.55,21.7
Vitamin B3,mg,Nữ,51+,Giữ cân,1.725,24.15
Vitamin B3,mg,Nữ,51+,Giữ cân,1.9,26.6
Vitamin B3,mg,Nữ,51+,Tăng cân,1.2,18.48
Vitamin B3,mg,Nữ,51+,Tăng cân,1.375,21.18
Vitamin B3,mg,Nữ,51+,Tăng cân,1.55,23.87
Vitamin B3,mg,Nữ,51+,Tăng cân,1.725,26.57
Vitamin B3,mg,Nữ,51+,Tăng cân,1.9,29.26
Vitamin B5,mg,Nam,19–30,Giảm cân,1.2,5.4
Vitamin B5,mg,Nam,19–30,Giảm cân,1.375,6.19
Vitamin B5,mg,Nam,19–30,Giảm cân,1.55,6.98
Vitamin B5,mg,Nam,19–30,Giảm cân,1.725,7.76
Vitamin B5,mg,Nam,19–30,Giảm cân,1.9,8.55
Vitamin B5,mg,Nam,19–30,Giữ cân,1.2,6.0
Vitamin B5,mg,Nam,19–30,Giữ cân,1.375,6.88
Vitamin B5,mg,Nam,19–30,Giữ cân,1.55,7.75
Vitamin B5,mg,Nam,19–30,Giữ cân,1.725,8.62
Vitamin B5,mg,Nam,19–30,Giữ cân,1.9,9.5
Vitamin B5,mg,Nam,19–30,Tăng cân,1.2,6.6
Vitamin B5,mg,Nam,19–30,Tăng cân,1.375,7.56
Vitamin B5,mg,Nam,19–30,Tăng cân,1.55,8.53
Vitamin B5,mg,Nam,19–30,Tăng cân,1.725,9.49
Vitamin B5,mg,Nam,19–30,Tăng cân,1.9,10.45
Vitamin B5,mg,Nam,31–50,Giảm cân,1.2,5.4
Vitamin B5,mg,Nam,31–50,Giảm cân,1.375,6.19
Vitamin B5,mg,Nam,31–50,Giảm cân,1.55,6.98
Vitamin B5,mg,Nam,31–50,Giảm cân,1.725,7.76
Vitamin B5,mg,Nam,31–50,Giảm cân,1.9,8.55
Vitamin B5,mg,Nam,31–50,Giữ cân,1.2,6.0
Vitamin B5,mg,Nam,31–50,Giữ cân,1.375,6.88
Vitamin B5,mg,Nam,31–50,Giữ cân,1.55,7.75
Vitamin B5,mg,Nam,31–50,Giữ cân,1.725,8.62
Vitamin B5,mg,Nam,31–50,Giữ cân,1.9,9.5
Vitamin B5,mg,Nam,31–50,Tăng cân,1.2,6.6
Vitamin B5,mg,Nam,31–50,Tăng cân,1.375,7.56
Vitamin B5,mg,Nam,31–50,Tăng cân,1.55,8.53
Vitamin B5,mg,Nam,31–50,Tăng cân,1.725,9.49
Vitamin B5,mg,Nam,31–50,Tăng cân,1.9,10.45
Vitamin B5,mg,Nam,51+,Giảm cân,1.2,5.4
Vitamin B5,mg,Nam,51+,Giảm cân,1.375,6.19
Vitamin B5,mg,Nam,51+,Giảm cân,1.55,6.98
Vitamin B5,mg,Nam,51+,Giảm cân,1.725,7.76
Vitamin B5,mg,Nam,51+,Giảm cân,1.9,8.55
Vitamin B5,mg,Nam,51+,Giữ cân,1.2,6.0
Vitamin B5,mg,Nam,51+,Giữ cân,1.375,6.88
Vitamin B5,mg,Nam,51+,Giữ cân,1.55,7.75
Vitamin B5,mg,Nam,51+,Giữ cân,1.725,8.62
Vitamin B5,mg,Nam,51+,Giữ cân,1.9,9.5
Vitamin B5,mg,Nam,51+,Tăng cân,1.2,6.6
Vitamin B5,mg,Nam,51+,Tăng cân,1.375,7.56
Vitamin B5,mg,Nam,51+,Tăng cân,1.55,8.53
Vitamin B5,mg,Nam,51+,Tăng cân,1.725,9.49
Vitamin B5,mg,Nam,51+,Tăng cân,1.9,10.45
Vitamin B5,mg,Nữ,19–30,Giảm cân,1.2,5.4
Vitamin B5,mg,Nữ,19–30,Giảm cân,1.375,6.19
Vitamin B5,mg,Nữ,19–30,Giảm cân,1.55,6.98
Vitamin B5,mg,Nữ,19–30,Giảm cân,1.725,7.76
Vitamin B5,mg,Nữ,19–30,Giảm cân,1.9,8.55
Vitamin B5,mg,Nữ,19–30,Giữ cân,1.2,6.0
Vitamin B5,mg,Nữ,19–30,Giữ cân,1.375,6.88
Vitamin B5,mg,Nữ,19–30,Giữ cân,1.55,7.75
Vitamin B5,mg,Nữ,19–30,Giữ cân,1.725,8.62
Vitamin B5,mg,Nữ,19–30,Giữ cân,1.9,9.5
Vitamin B5,mg,Nữ,19–30,Tăng cân,1.2,6.6
Vitamin B5,mg,Nữ,19–30,Tăng cân,1.375,7.56
Vitamin B5,mg,Nữ,19–30,Tăng cân,1.55,8.53
Vitamin B5,mg,Nữ,19–30,Tăng cân,1.725,9.49
Vitamin B5,mg,Nữ,19–30,Tăng cân,1.9,10.45
Vitamin B5,mg,Nữ,31–50,Giảm cân,1.2,5.4
Vitamin B5,mg,Nữ,31–50,Giảm cân,1.375,6.19
Vitamin B5,mg,Nữ,31–50,Giảm cân,1.55,6.98
Vitamin B5,mg,Nữ,31–50,Giảm cân,1.725,7.76
Vitamin B5,mg,Nữ,31–50,Giảm cân,1.9,8.55
Vitamin B5,mg,Nữ,31–50,Giữ cân,1.2,6.0
Vitamin B5,mg,Nữ,31–50,Giữ cân,1.375,6.88
Vitamin B5,mg,Nữ,31–50,Giữ cân,1.55,7.75
Vitamin B5,mg,Nữ,31–50,Giữ cân,1.725,8.62
Vitamin B5,mg,Nữ,31–50,Giữ cân,1.9,9.5
Vitamin B5,mg,Nữ,31–50,Tăng cân,1.2,6.6
Vitamin B5,mg,Nữ,31–50,Tăng cân,1.375,7.56
Vitamin B5,mg,Nữ,31–50,Tăng cân,1.55,8.53
Vitamin B5,mg,Nữ,31–50,Tăng cân,1.725,9.49
Vitamin B5,mg,Nữ,31–50,Tăng cân,1.9,10.45
Vitamin B5,mg,Nữ,51+,Giảm cân,1.2,5.4
Vitamin B5,mg,Nữ,51+,Giảm cân,1.375,6.19
Vitamin B5,mg,Nữ,51+,Giảm cân,1.55,6.98
Vitamin B5,mg,Nữ,51+,Giảm cân,1.725,7.76
Vitamin B5,mg,Nữ,51+,Giảm cân,1.9,8.55
Vitamin B5,mg,Nữ,51+,Giữ cân,1.2,6.0
Vitamin B5,mg,Nữ,51+,Giữ cân,1.375,6.88
Vitamin B5,mg,Nữ,51+,Giữ cân,1.55,7.75
Vitamin B5,mg,Nữ,51+,Giữ cân,1.725,8.62
Vitamin B5,mg,Nữ,51+,Giữ cân,1.9,9.5
Vitamin B5,mg,Nữ,51+,Tăng cân,1.2,6.6
Vitamin B5,mg,Nữ,51+,Tăng cân,1.375,7.56
Vitamin B5,mg,Nữ,51+,Tăng cân,1.55,8.53
Vitamin B5,mg,Nữ,51+,Tăng cân,1.725,9.49
Vitamin B5,mg,Nữ,51+,Tăng cân,1.9,10.45
Vitamin B6,mg,Nam,19–30,Giảm cân,1.2,1.62
Vitamin B6,mg,Nam,19–30,Giảm cân,1.375,1.86
Vitamin B6,mg,Nam,19–30,Giảm cân,1.55,2.09
Vitamin B6,mg,Nam,19–30,Giảm cân,1.725,2.33
Vitamin B6,mg,Nam,19–30,Giảm cân,1.9,2.56
Vitamin B6,mg,Nam,19–30,Giữ cân,1.2,1.8
Vitamin B6,mg,Nam,19–30,Giữ cân,1.375,2.06
Vitamin B6,mg,Nam,19–30,Giữ cân,1.55,2.33
